species_id,scientific_name,common_name,phylum,toxicity_level,bloom_trigger_conditions,notes
a4ab21f9-c895-594b-bd89-7e14959bd207,Noctiluca scintillans,Sea sparkle,Dinoflagellata,low,"Marine, warm waters (>20 degC), high organic matter, calm seas",Non-toxic but produces ammonia causing fish kills; responsible for bioluminescent tides
57175a01-e6a9-523b-b23d-37f4179719b1,Prymnesium parvum,Golden alga,Haptophyta,high,"Brackish water (1-20 ppt salinity), warm temperatures, elevated nutrients",Produces prymnesins; causes widespread fish and invertebrate kills
c8a271ab-636f-5306-8c83-efdc71d6dfdd,Pseudo-nitzschia australis,Pennate diatom,Bacillariophyta,high,"Cool to temperate coastal upwelling zones (12-20 degC), high silica and nitrate",Produces domoic acid (amnesic shellfish poisoning); linked to marine mammal mortality
cf81345d-3a1a-5d00-bd57-4ce4595edac0,Aulacoseira granulata,Chain-forming diatom,Bacillariophyta,none,"Cool to warm freshwater (10-25 degC), high turbulence/mixing, elevated silica and nitrate",Non-toxic sentinel species; indicates eutrophication and spring turnover
019baaf8-2226-5edd-b398-0f57fd9c0238,Stephanodiscus hantzschii,Small centric diatom,Bacillariophyta,none,"Cold to cool water (5-15 degC), high phosphorus and silica, winter-spring mixing events",Non-toxic; indicator of hypereutrophic conditions; dense blooms can clog water treatment filters
bb7ccfc9-8dd6-5d7f-8049-7693be1a646a,Fragilaria crotonensis,Needle diatom,Bacillariophyta,none,"Cool temperate lakes (10-20 degC), moderate nutrients, seasonal mixing",Non-toxic sentinel; nuisance filter-clogging in water supply reservoirs
ef21fcba-bb41-5c62-a797-74077f71eb2e,Chlorella vulgaris,Green microalgae,Chlorophyta,none,"Wide temperature range (15-35 degC), high nitrogen and phosphorus, high light",Non-toxic; rapid-growth indicator species in eutrophic ponds
ca560248-021f-5df5-a733-fe7977306070,Cladophora glomerata,Blanket weed,Chlorophyta,none,"Warm water (15-28 degC), high phosphorus and light, shallow hard-substrate streams",Non-toxic; forms dense mats that deoxygenate water on decomposition
da4cfa39-8b54-50d0-9892-84fd92c50175,Ulva lactuca,Sea lettuce,Chlorophyta,none,"Coastal marine and estuarine, elevated nitrogen and phosphorus, warm calm waters",Non-toxic macroalgae; green tide indicator in nitrogen-enriched coastal zones
5680fb2c-596c-5cae-9da2-9a2830c88c15,Spirogyra spp.,Water silk,Chlorophyta,none,"Slow-flowing or still freshwater, spring warmth (10-20 degC), moderate to high nutrients",Non-toxic; spiral chloroplast morphology; early-season indicator of nutrient enrichment
58f2fc96-5211-5a48-bd05-bad4449806e9,Microcystis wesenbergii,Colonial cyanobacterium,Cyanobacteria,moderate,"Warm eutrophic lakes (>22 degC), elevated phosphorus, calm conditions",Produces microcystins at lower concentrations than M. aeruginosa; colony mucilage provides buoyancy
20d55621-1e25-59cd-84d1-cd62f17d365e,Woronichinia naegeliana,—,Cyanobacteria,low,"Warm stratified lakes, moderate phosphorus, summer conditions",Spherical colonies; low toxin production; indicator of early eutrophication
d677357d-263f-581d-8312-82c11ed603a7,Raphidiopsis curvata,—,Cyanobacteria,moderate,"Subtropical and tropical lakes (>23 degC), low N:P ratio",Related to Cylindrospermopsis; produces cylindrospermopsin in some populations
fe051665-7950-5d14-8f59-48ae35cead29,Oscillatoria limosa,Pond scum,Cyanobacteria,low,"Slow-flowing streams and ponds, high organic matter, moderate temperatures",Benthic mat-former; produces low-level geosmin causing taste and odour issues
2e37617a-7858-5350-8a6e-03e73eab99a3,Phormidium autumnale,—,Cyanobacteria,moderate,"Cool fast-flowing streams, rocky substrates, nutrient-enriched conditions",Benthic mat-former in streams; produces anatoxin-a; linked to dog deaths in NZ and Australia
e197dadb-0084-5cc7-a4fe-d60949c5d1d4,Trichodesmium erythraeum,Sea sawdust,Cyanobacteria,low,"Warm oligotrophic tropical marine waters (>25 degC), nitrogen-fixing conditions",Major marine nitrogen fixer; forms surface aggregates visible from satellites; open-ocean blooms
22bf7e95-5b34-5364-8898-595206ec3ef5,Ceratium hirundinella,Horned dinoflagellate,Dinoflagellata,none,"Warm stratified eutrophic lakes and reservoirs (>18 degC), high phosphorus",Non-toxic; large cells; nuisance clogging of water supply filters; taste and odour producer
82fd517f-98dd-5a91-8225-cd9c5b9ded01,Peridinium spp.,Freshwater dinoflagellate,Dinoflagellata,none,"Thermally stratified lakes, moderate nutrients, warm summer conditions",Non-toxic; common in temperate eutrophic lakes; contributes to coloured water
cd119cb6-cafd-52f2-b654-c66676f3b148,Gymnodinium catenatum,Chain-forming gymnodinium,Dinoflagellata,high,"Cool coastal upwelling zones (12-16 degC), post-upwelling relaxation, elevated nutrients",Produces saxitoxins; major paralytic shellfish poisoning risk in Australia and New Zealand
d46f0473-de90-53e3-9903-6adc9b3946ee,Dinophysis acuminata,—,Dinoflagellata,high,"Cool coastal marine (8-16 degC), stratified conditions, Mesodinium prey present",Produces okadaic acid and dinophysistoxins (diarrhoea shellfish poisoning); globally distributed
3eea7c7a-2ac4-52e5-91f3-bc1c82e66c0b,Heterosigma akashiwo,Raphidophyte red tide,Raphidophyta,moderate,"Coastal marine and estuarine, warm summer temperatures (15-25 degC), stratified conditions",Produces reactive oxygen species and ichthyotoxins; causes recurrent salmon aquaculture losses
43a1da3e-4113-52f2-84ae-5c86c3d9d907,Chattonella antiqua,Red tide flagellate,Raphidophyta,moderate,"Warm shallow coastal bays (>20 degC), high nutrients, stratified conditions",Produces haemolytic and ichthyotoxic compounds; major fish kill agent in Japanese coastal waters
338afad1-a706-537d-80d7-9b019bdb10f2,Aureococcus anophagefferens,Brown tide,Pelagophyta,none,"Shallow coastal lagoons and bays, elevated dissolved organic nitrogen, warm calm summer",Non-toxic but outcompetes shellfish food sources; causes economic losses in shellfish aquaculture
ca85cd3d-6c4f-50f2-ae15-7d41b6d53a49,Cyclotella meneghiniana,Small centric diatom,Bacillariophyta,none,"Warm eutrophic lakes (20-28 degC), high nutrients, stable low-wind conditions",Non-toxic; warm-season diatom; replacement species as lakes shift from Aulacoseira dominance
49235c5a-1451-542e-ab95-f1796d2c6fa7,Tabellaria fenestrata,Window-pane diatom,Bacillariophyta,none,"Cool oligotrophic to mesotrophic lakes, low phosphorus, seasonal mixing",Non-toxic; sensitive to eutrophication; used as paleolimnological indicator of past water quality
b645cfbb-2bae-5340-a4ca-762e54c013c0,Asterionella formosa,Star diatom,Bacillariophyta,none,"Cool spring conditions (5-15 degC), high silica, moderately high phosphorus",Non-toxic; characteristic spring bloom species in temperate lakes; star-shaped colonies
aab2cbe5-eec2-5877-9308-08b5142ff17d,Nitzschia acicularis,Needle diatom,Bacillariophyta,none,"Warm eutrophic ponds and lakes (15-30 degC), high nutrients",Non-toxic; indicator of enriched conditions; very slender needle-shaped cells
c693e795-be51-590c-8f5b-78d77613a80a,Euglena sanguinea,Red euglena,Euglenophyta,low,"Shallow nutrient-rich ponds and wetlands, warm temperatures, high organic matter",Produces euglenophycin; red surface blooms; indicator of high organic loading
d05445c0-197e-5ef9-8563-db37d2f065c9,Trachelomonas volvocinopsis,—,Euglenophyta,none,"Eutrophic ponds and slow streams, high nutrients, warm conditions",Non-toxic; iron-encrusted lorica; indicator of organic enrichment; tolerates low oxygen
e73c07b2-f9dc-5b5f-82c0-7757642fa580,Scenedesmus quadricauda,Green microalgae,Chlorophyta,none,"Eutrophic ponds and lakes, high nutrients, wide temperature range",Non-toxic; coenobial green alga; used in wastewater treatment; fast-growing biomass producer
b6208e89-f7d4-500e-975c-b2356c253005,Pediastrum duplex,Flat disc alga,Chlorophyta,none,"Eutrophic to mesotrophic lakes, warm summer conditions, moderate to high phosphorus",Non-toxic; flat disc-shaped coenobium; preserved well in sediments for paleolimnology
4c089a24-b623-5281-823a-61567896dc26,Volvox aureus,Rolling ball alga,Chlorophyta,none,"Warm eutrophic ponds (>20 degC), high phosphorus, calm conditions",Non-toxic; large spherical coenobium visible to naked eye; indicator of nutrient enrichment
b101c64b-ef34-5aee-9241-e36e5988420b,Botryococcus braunii,Colonial green alga,Chlorophyta,none,"Warm oligotrophic to mesotrophic lakes (15-30 degC), low nitrogen relative to phosphorus",Non-toxic; produces hydrocarbons; potential biofuel feedstock; forms surface oily films
8da1adda-51ad-5856-bdd3-23589d9a6f7d,Dunaliella salina,Halophytic green alga,Chlorophyta,none,"Hypersaline environments (>70 ppt), warm sunny conditions, low nutrients",Non-toxic; produces beta-carotene and glycerol; used in commercial nutraceutical production
3fd29343-6777-5cd5-a5a3-1fdfa8b3b197,Chaetoceros muelleri,Spine-bearing diatom,Bacillariophyta,none,"Coastal marine and estuarine, cool to moderate temperatures, high nutrients from upwelling",Non-toxic; important marine primary producer; aquaculture feed species; spring bloom contributor
4fc35c93-a85b-5def-85c4-77b5fd43ecaf,Skeletonema costatum,Chain-forming marine diatom,Bacillariophyta,none,"Cool coastal marine (5-15 degC), high silica and nitrate, spring mixing events",Non-toxic; globally dominant spring bloom diatom; indicator of healthy coastal productivity
751706b7-b19e-518f-8b01-837c365a100a,Phaeocystis globosa,Colonial haptophyte,Haptophyta,none,"Cool to temperate coastal marine (5-15 degC), high nitrate after winter mixing",Non-toxic individually; large colonies produce foam on beaches; reduces palatability for grazers
43d0b762-b95a-572d-91eb-763595cc7555,Emiliania huxleyi,Coccolithophore,Haptophyta,none,"Open ocean and coastal marine, moderately warm (10-20 degC), post-bloom low-nutrient conditions",Non-toxic; calcite plates give milky turquoise appearance from satellite; major carbon sink
e1f4cf9b-68c5-51bf-ae8a-22e13562ee6b,Gonyaulax spinifera,Spiny dinoflagellate,Dinoflagellata,low,"Coastal marine, warm stratified summer conditions, moderate nutrients",Produces yessotoxins at low concentrations; widespread coastal species; bioluminescent
a29791e2-2ac2-5d1f-a52c-abab07351da5,Symbiodinium spp.,Zooxanthellae,Dinoflagellata,none,"Warm tropical marine (>22 degC), oligotrophic coral reef conditions",Non-toxic; endosymbiotic in coral; coral bleaching follows expulsion under thermal stress

